"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","EPS growth quarter over quarter","Sales growth quarter over quarter","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume","Earnings Date"
"BXMX","Nuveen S&P 500 Buy-Write Income Fund","Financial","Closed-End Fund - Equity","USA",,30.43,,,,1.02,,,,,0.44,,,0.00%,,,,,,,,,,,,0.10,,,,,,,,,,,-0.07%,1.21%,5.52%,4.16%,12.55%,5.50%,,0.11,0.80%,0.77%,0.77%,2.29%,5.81%,-0.59%,7.10%,-0.59%,15.60%,58.76,0.83%,0.45%,3.00,255.26,0.93,13.42,1.28%,237287,
"BXP","Boston Properties, Inc.","Financial","REIT - Office","USA",20067.96,40.00,46.83,5.00,7.87,3.59,56.23,,2.30%,79.60%,3.26,-12.40%,20.20%,12.60%,8.00%,8.20%,6.80%,1.90%,153.86,152.82,0.20%,-12.56%,99.70%,0.59%,1.88%,3.65,2.70%,9.10%,5.40%,,,1.75,1.75,63.90%,32.40%,19.70%,-3.73%,-0.87%,1.85%,-7.04%,13.74%,3.70%,0.67,2.25,1.68%,1.54%,-4.32%,-1.26%,0.05%,-6.92%,7.38%,-8.46%,15.42%,35.70,-2.12%,0.92%,2.50,789.35,1.09,130.43,-1.21%,857048,1/31/2017 4:30:00 PM
"BXS","BancorpSouth, Inc.","Financial","Regional - Southeast Banks","USA",2910.63,22.23,16.41,4.45,6.02,1.70,13.05,38.25,1.60%,30.20%,1.41,28.70%,17.39%,25.60%,5.00%,-2.10%,82.20%,4.50%,93.14,84.42,0.40%,-7.12%,67.80%,4.30%,2.93%,4.77,0.90%,7.80%,17.00%,,,0.31,0.31,,93.00%,27.50%,-0.79%,7.02%,5.71%,28.28%,51.45%,0.64%,1.29,0.70,2.42%,1.98%,-0.08%,1.44%,19.85%,-3.55%,9.27%,-3.55%,56.93%,50.67,-0.95%,0.61%,2.80,518.89,1.21,31.25,-0.35%,628332,1/25/2017 4:30:00 PM
"BYBK","Bay Bancorp, Inc.","Financial","Regional - Mid-Atlantic Banks","USA",84.16,49.38,,,3.66,1.29,2.10,,,0.00%,0.16,-7.40%,,204.10%,,5.20%,52.50%,16.40%,10.52,6.21,1.20%,18.83%,18.90%,-4.79%,0.14%,0.43,0.30%,2.60%,28.70%,,,0.00,0.00,,86.20%,7.60%,-0.62%,5.96%,28.00%,52.09%,67.36%,21.21%,-0.08,0.28,3.17%,3.61%,2.23%,9.80%,35.87%,-3.03%,23.93%,-3.03%,67.71%,57.61,-0.62%,0.00%,,20.53,0.32,8.00,-0.62%,6583,1/30/2017 8:30:00 AM
"BYD","Boyd Gaming Corporation","Services","Resorts & Casinos","USA",2314.69,10.78,15.28,0.50,1.06,2.50,11.94,20.18,,0.00%,1.89,27.50%,14.84%,91.60%,21.55%,-1.30%,173.90%,2.20%,113.80,82.39,1.90%,-6.11%,69.70%,-2.43%,10.60%,6.73,8.90%,56.20%,10.00%,0.80,0.80,3.42,3.46,46.30%,10.90%,19.10%,3.99%,-1.60%,0.30%,2.73%,14.33%,0.84%,1.72,0.42,1.65%,2.09%,0.85%,0.79%,4.92%,-5.40%,5.99%,-5.75%,21.29%,54.81,1.19%,0.35%,2.30,1297.67,1.22,20.34,1.55%,1586016,2/14/2017 4:30:00 PM
"BYFC","Broadway Financial Corporation","Financial","Savings & Loans","USA",46.12,7.10,,,3.12,1.04,1.11,2.00,,0.00%,0.24,172.70%,,-6.70%,,-12.80%,-66.60%,8.10%,27.29,3.94,73.86%,0.00%,9.90%,42.97%,0.04%,0.08,1.70%,14.70%,38.10%,,,0.11,0.11,,91.00%,46.70%,1.81%,9.03%,5.62%,0.00%,9.03%,3.36%,1.48,0.05,2.18%,2.79%,7.22%,6.07%,0.06%,1.81%,14.97%,-32.40%,19.01%,70.28,1.81%,0.00%,,19.91,1.86,1.69,1.81%,37096,02/23/2017
"BYLD","iShares Yield Optimized Bond","Financial","Exchange Traded Fund","USA",,,,,,,,,3.14%,,,,,,,,,,,,,,,,,1.21,,,,,,,,,,,-0.79%,-1.14%,-0.15%,-1.46%,3.64%,-0.21%,,0.06,0.12%,0.15%,-0.96%,-0.68%,-0.51%,-1.92%,0.59%,-7.18%,3.75%,34.88,0.04%,0.04%,,5.83,0.27,24.54,0.08%,1574,
"BYM","BlackRock Municipal Income Quality Trust","Financial","Closed-End Fund - Debt","USA",,19.49,,,,0.88,,,,,0.71,,,0.00%,,,,,,,,,,,,0.29,,,,,,,,,,,-1.50%,-1.87%,-1.02%,-10.12%,-2.76%,0.44%,,0.09,0.69%,0.55%,-0.97%,-0.84%,-5.14%,-2.15%,2.50%,-12.58%,3.82%,39.98,0.14%,0.22%,1.00,60.64,0.57,13.82,0.36%,34660,
"BZF","WisdomTree Brazilian Real Strategy ETF","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,4.46,,,,,,,,,,,-0.82%,-0.36%,10.98%,7.57%,27.42%,6.69%,,0.25,1.61%,1.04%,-0.73%,1.32%,7.96%,-3.55%,10.72%,-3.55%,35.17%,50.20,0.83%,0.84%,,17.02,0.15,18.18,1.68%,2602,
"BZH","Beazer Homes USA, Inc.","Industrial Goods","Residential Construction","USA",402.62,145.06,11.15,36.27,0.22,0.60,2.54,2.43,,0.00%,0.08,-98.50%,52.11%,15.00%,4.00%,19.70%,-213.20%,-1.50%,33.44,32.03,4.20%,-0.15%,84.70%,-1.99%,8.99%,4.31,0.10%,0.40%,1.50%,,,2.08,2.08,16.10%,2.10%,0.10%,-2.19%,-14.12%,-19.30%,-1.71%,50.69%,-9.47%,2.84,0.41,3.04%,3.35%,-4.27%,-8.72%,7.33%,-18.76%,2.91%,-23.80%,76.80%,39.03,0.58%,1.44%,3.50,668.44,0.99,12.04,2.03%,660974,2/9/2017 8:30:00 AM
"BZM","BlackRock Maryland Municipal Bond Trust","Financial","Asset Management","USA",,19.18,,,,0.91,,,,,0.73,,,,,,,,,,,,,,,0.07,,,,,,,,,,,-1.27%,-1.57%,-1.75%,-11.75%,-7.77%,-0.26%,,0.21,1.48%,1.32%,-1.00%,-1.25%,-7.64%,-10.15%,0.94%,-16.46%,1.72%,42.42,0.22%,-0.36%,3.00,5.16,0.41,13.98,-0.14%,2107,
"BZQ","ProShares UltraShort MSCI Brazil Capped","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,7.56%,-0.07%,-25.89%,-25.70%,-67.95%,-22.72%,,0.62,3.78%,3.80%,5.92%,-3.86%,-31.70%,-27.31%,18.32%,-74.40%,18.32%,51.37,0.93%,-5.17%,,294.08,1.25,14.08,-4.28%,366493,
"BZUN","Baozun Inc.","Services","Catalog & Mail Order Houses","China",828.06,66.80,13.76,2.61,1.68,3.39,5.96,,,0.00%,0.23,131.20%,48.79%,,25.57%,,345.50%,25.20%,54.37,3.65,,,26.50%,50.79%,21.46%,1.62,4.40%,6.60%,4.30%,2.70,2.30,0.00,0.07,43.30%,2.70%,2.60%,8.48%,5.40%,17.42%,10.20%,166.26%,26.18%,,0.69,4.87%,4.79%,2.32%,10.77%,27.09%,-5.99%,40.11%,-18.16%,193.27%,58.37,-1.10%,-0.45%,1.70,483.95,0.64,15.23,-1.55%,307335,2/21/2017 4:30:00 PM
"C","Citigroup Inc.","Financial","Money Center Banks","USA",173014.42,12.97,10.43,1.81,3.00,0.84,0.27,3.54,1.04%,8.90%,4.74,-12.50%,13.84%,5.70%,7.16%,-4.30%,10.10%,0.50%,2813.70,2765.97,0.10%,0.00%,76.10%,-0.43%,0.83%,1.19,0.80%,6.50%,8.20%,,,0.90,0.90,,66.60%,23.70%,0.80%,9.18%,4.41%,29.46%,50.25%,3.76%,1.65,1.14,1.64%,1.61%,2.27%,4.33%,21.07%,-1.66%,11.33%,-1.66%,62.08%,59.46,-0.73%,0.63%,2.40,19318.38,0.90,61.49,-0.10%,17415904,1/18/2017 8:30:00 AM
"CA","CA, Inc.","Technology","Business Software & Services","USA",13604.76,17.04,13.17,28.41,3.37,2.40,4.81,22.71,3.15%,53.50%,1.90,-2.00%,0.65%,2.20%,0.60%,-1.90%,-2.50%,-2.60%,419.90,312.07,0.10%,0.00%,73.20%,0.59%,4.15%,4.99,7.10%,14.30%,11.20%,1.30,1.30,0.35,0.35,85.80%,29.70%,19.40%,-0.25%,4.22%,2.87%,-3.38%,11.55%,2.81%,0.91,0.49,1.71%,1.41%,0.82%,1.19%,0.73%,-2.36%,6.67%,-5.18%,14.88%,52.89,0.71%,0.12%,3.10,2594.36,0.56,32.40,0.84%,1444412,1/24/2017 4:30:00 PM
"CAA","CalAtlantic Group, Inc.","Industrial Goods","Residential Construction","USA",4307.44,10.41,8.90,0.84,0.67,1.03,20.70,14.19,0.43%,3.90%,3.60,35.40%,12.47%,75.80%,12.36%,48.60%,123.80%,16.60%,115.08,114.42,1.20%,0.00%,26.40%,-5.75%,9.53%,9.36,5.60%,11.80%,6.20%,,,0.81,0.87,22.80%,11.60%,7.50%,2.63%,8.90%,6.49%,0.93%,23.37%,10.06%,1.32,0.74,1.70%,2.13%,6.28%,7.79%,6.80%,0.51%,15.28%,-8.37%,24.89%,72.44,0.81%,1.09%,2.30,1165.41,0.79,37.43,1.91%,925110,2/8/2017 4:30:00 PM
"CAAS","China Automotive Systems, Inc.","Consumer Goods","Auto Parts","China",146.15,6.16,5.48,0.62,0.34,0.47,1.86,,,0.00%,0.74,-26.10%,15.28%,-4.90%,10.00%,5.10%,33.40%,4.20%,32.12,12.45,61.28%,0.00%,8.00%,12.33%,0.36%,0.64,3.80%,7.80%,6.10%,1.60,1.30,0.00,0.38,18.30%,5.80%,5.50%,-2.57%,-2.36%,-37.76%,16.97%,10.44%,-15.11%,2.37,0.14,2.44%,2.93%,-4.90%,-9.43%,2.64%,-24.79%,4.60%,-42.84%,46.77%,29.89,0.22%,-0.22%,3.00,70.33,0.12,4.55,0.00%,8630,3/29/2017 8:30:00 AM
"CAB","Cabela's Incorporated","Services","Sporting Goods Stores","USA",3178.59,21.68,15.24,1.84,0.77,1.57,12.05,10.11,,0.00%,2.13,-20.20%,8.77%,1.30%,11.77%,8.00%,-26.80%,-4.90%,68.92,51.27,0.20%,0.00%,62.30%,-17.74%,5.94%,3.20,1.70%,7.60%,2.60%,2.60,2.30,1.56,2.36,41.20%,6.60%,3.60%,-2.66%,-13.10%,-26.24%,-5.26%,-4.51%,-21.23%,0.32,1.11,1.25%,2.94%,-2.01%,-13.22%,-15.64%,-26.07%,2.49%,-27.48%,2.49%,32.59,-0.28%,0.37%,2.80,950.29,0.22,46.12,0.09%,210352,2/16/2017 8:30:00 AM
"CABO","Cable ONE, Inc.","Technology","Diversified Communication Services","USA",3663.96,37.25,31.71,12.42,4.47,8.03,26.55,50.19,0.94%,34.80%,17.14,12.80%,11.26%,,3.00%,,-4.50%,1.60%,5.74,4.67,5.00%,-1.88%,78.50%,3.42%,3.88%,4.97,7.20%,22.70%,12.40%,1.70,1.70,1.17,1.18,62.90%,23.00%,12.10%,2.92%,0.89%,3.31%,16.84%,45.94%,2.91%,,9.98,1.56%,1.48%,0.63%,2.94%,12.47%,-1.25%,13.39%,-1.25%,50.30%,58.16,0.68%,0.27%,3.30,36.46,0.40,638.32,0.96%,14472,2/28/2017 8:30:00 AM
"CAC","Camden National Corporation","Financial","Regional - Northeast Banks","USA",651.93,16.37,14.68,,4.42,1.66,5.88,,2.19%,31.00%,2.57,4.60%,5.14%,-1.96%,,,544.30%,12.60%,15.50,15.13,2.00%,1.24%,62.70%,-6.24%,2.55%,8.19,,,,,,0.18,0.18,,,,-1.43%,4.78%,2.27%,31.69%,59.60%,-4.88%,0.82,0.85,1.81%,1.95%,0.09%,-1.03%,21.57%,-6.69%,5.89%,-6.94%,61.83%,47.79,-0.17%,0.41%,2.00,47.06,0.97,42.06,0.24%,45561,1/31/2017 8:30:00 AM
"CACB","Cascade Bancorp","Financial","Regional - Pacific Banks","USA",614.62,35.46,17.77,3.94,6.45,1.63,8.10,,,0.00%,0.23,-18.70%,17.05%,17.20%,9.00%,7.30%,1.30%,26.20%,76.35,68.66,9.96%,0.00%,84.50%,-0.19%,0.33%,1.41,0.50%,4.70%,22.30%,,,0.00,0.00,,97.80%,17.60%,-2.42%,5.37%,4.41%,33.28%,41.48%,-0.86%,0.48,0.16,1.71%,1.89%,-1.06%,0.55%,21.01%,-5.52%,6.48%,-5.52%,52.75%,46.36,-1.23%,0.62%,3.00,159.26,1.28,8.05,-0.62%,203758,1/25/2017 4:30:00 PM
"CACC","Credit Acceptance Corp.","Financial","Credit Services","USA",3927.68,12.11,10.14,2.06,4.05,3.39,269.02,7.83,,0.00%,16.31,14.10%,6.68%,18.20%,5.87%,13.00%,13.20%,17.60%,19.89,12.09,19.70%,-19.04%,60.50%,13.58%,29.77%,23.88,8.30%,30.20%,11.40%,,,2.22,2.22,,64.90%,34.30%,-2.91%,0.35%,-1.21%,-1.38%,-5.11%,-9.21%,0.65,5.47,2.37%,2.31%,-1.18%,-3.46%,1.46%,-10.69%,3.93%,-10.69%,22.93%,44.10,-0.89%,1.47%,3.90,150.76,0.51,197.47,0.57%,76714,1/31/2017 4:30:00 PM
"CACH","Cache Inc.","Services","Apparel Stores","USA",0.05,,,,0.00,0.02,,,,,-1.52,,,-30.22%,30.00%,,,-2.50%,31.04,,11.18%,0.00%,0.80%,,,4.80,,,,,,,,,,,-15.00%,-40.77%,-71.09%,,,13.33%,,0.00,5.18%,17.34%,-20.73%,-22.69%,-42.18%,,,,,44.73,0.00%,0.00%,3.00,160.45,0.39,0.00,0.00%,0,
"CACI","CACI International Inc","Technology","Information Technology Services","USA",2991.46,19.38,17.90,2.89,0.71,1.76,41.15,37.30,,0.00%,6.31,11.30%,6.88%,4.60%,6.70%,0.90%,37.70%,27.30%,24.46,24.11,1.09%,-4.27%,92.00%,0.44%,0.84%,1.45,4.00%,9.70%,6.00%,1.70,1.70,0.76,0.80,32.80%,7.00%,3.70%,-2.43%,-3.09%,-7.00%,20.29%,23.92%,-1.61%,1.98,2.53,1.34%,1.67%,-2.94%,-2.25%,12.05%,-9.64%,3.03%,-9.64%,40.08%,40.88,-0.81%,0.74%,2.50,139.86,0.45,122.30,-0.08%,62598,2/1/2017 4:15:00 PM
"CACQ","Caesars Acquisition Company","Services","Resorts & Casinos","USA",1924.01,3.13,,,,1.14,69.96,447.44,,0.00%,4.49,,,48.70%,,,830.60%,,136.94,48.53,0.10%,-40.85%,55.10%,1.17%,2.19%,5.52,40.50%,45.20%,,2.60,2.60,0.00,0.00,,,,-6.02%,0.00%,12.85%,17.38%,150.89%,4.07%,0.59,0.60,3.67%,4.42%,-3.23%,-2.62%,14.21%,-11.08%,12.85%,-11.08%,170.71%,43.21,-2.77%,0.70%,1.00,192.45,0.60,14.05,-2.09%,114918,2/24/2017 4:30:00 PM
"CADC","China Advanced Construction Materials Group, Inc.","Industrial Goods","General Building Materials","China",5.98,,,,0.13,0.61,,1.07,,,-10.44,-237.10%,,-21.40%,20.00%,-17.20%,-168.60%,-13.50%,2.30,1.46,42.60%,0.00%,1.00%,15.00%,0.33%,0.22,-24.10%,-117.90%,-25.80%,1.10,1.10,0.00,3.70,-8.30%,-44.40%,-51.60%,-3.70%,4.84%,15.56%,-18.75%,52.94%,18.72%,0.37,0.19,6.87%,7.96%,-0.57%,4.02%,-0.22%,-17.46%,30.00%,-54.23%,73.33%,50.07,-1.74%,3.77%,3.00,21.66,1.66,2.60,1.96%,35993,2/24/2017 8:30:00 AM
"CAE","CAE Inc.","Industrial Goods","Aerospace/Defense Products & Services","Canada",4006.47,21.91,18.37,2.51,1.99,2.73,12.87,108.58,1.61%,34.20%,0.68,17.50%,6.84%,7.40%,8.74%,9.00%,16.80%,10.80%,268.53,268.30,1.10%,0.00%,73.30%,-0.43%,0.04%,0.92,4.80%,12.80%,10.00%,1.60,1.20,0.62,0.65,29.20%,13.50%,9.00%,-1.78%,5.59%,1.51%,3.86%,34.93%,6.80%,0.92,0.23,1.13%,1.60%,-1.13%,2.88%,7.92%,-6.05%,8.12%,-6.05%,37.00%,51.20,0.13%,0.95%,2.40,105.18,1.17,14.92,1.08%,123481,2/14/2017 8:30:00 AM
"CAF","Morgan Stanley China A Share Fund, Inc.","Financial","Closed-End Fund - Foreign","USA",,,,,,,,,,,,,,0.00%,,,,,,,,,,,,0.41,,,,,,,,,,,-0.54%,0.38%,0.44%,-3.03%,19.33%,7.47%,,0.16,0.97%,0.76%,-0.82%,1.68%,2.80%,-2.30%,7.79%,-3.47%,20.54%,50.28,-0.16%,0.11%,,103.19,0.51,18.26,-0.05%,52260,
"CAFD","8point3 Energy Partners LP","Utilities","Diversified Utilities","USA",983.05,9.50,9.80,0.44,16.06,1.18,68.74,,8.01%,69.60%,1.31,96.60%,80.71%,,21.62%,,-81.50%,262.50%,78.77,28.00,0.10%,0.00%,63.90%,-1.52%,5.39%,5.13,2.30%,7.20%,0.60%,1.30,1.30,1.42,1.42,88.60%,36.20%,44.30%,-3.33%,-7.62%,-2.82%,-18.57%,-15.35%,-3.85%,,0.29,2.15%,2.33%,-5.50%,-7.59%,-11.80%,-15.50%,1.09%,-25.42%,5.65%,25.89,-0.72%,0.08%,2.10,294.18,0.77,12.48,-0.64%,225168,1/27/2017 4:30:00 PM
"CAFE","iPath Pure Beta Coffee ETN","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,2.22,,,,,,,,,,,-1.34%,-3.53%,-1.90%,-12.71%,6.47%,1.55%,,0.20,0.84%,1.06%,-3.12%,-4.25%,-7.12%,-10.80%,4.86%,-22.12%,10.37%,37.89,0.00%,0.23%,,4.19,0.06,13.86,0.23%,246,
"CAFN","Cachet Financial Solutions, Inc.","Technology","Business Software & Services","USA",13.11,,14.33,,1.86,,,,,,-4.64,95.50%,200.00%,,,,,124.00%,3.05,1.06,,,,,,,,,,,,,,,,,4.88%,7.50%,-10.42%,-28.33%,-39.90%,14.67%,,0.19,7.76%,2.72%,5.15%,8.52%,-23.21%,-9.47%,53.02%,-61.78%,53.02%,56.40,-4.23%,8.19%,1.00,3.75,32.25,4.30,3.61%,120949,2/9/2017 4:30:00 PM
"CAG","Conagra Brands, Inc.","Consumer Goods","Processed & Packaged Goods","USA",17770.08,40.31,21.81,3.13,1.69,4.03,12.09,28.07,1.96%,69.90%,1.02,-36.90%,10.61%,-10.30%,12.90%,-1.20%,45.40%,-11.50%,434.37,434.28,0.10%,-0.75%,79.10%,0.36%,1.12%,1.56,4.90%,16.10%,7.30%,1.90,1.30,0.72,0.78,28.40%,9.20%,6.00%,-0.58%,3.52%,8.81%,18.35%,23.74%,3.97%,0.35,0.51,1.24%,1.29%,1.09%,3.44%,10.69%,-1.85%,7.76%,-1.85%,26.06%,61.43,0.27%,0.57%,2.20,3139.83,0.99,40.91,0.84%,3101595,4/6/2017 8:30:00 AM
"CAH","Cardinal Health, Inc.","Services","Drugs Wholesale","USA",26088.72,19.74,13.83,2.14,0.21,4.13,13.87,22.32,2.19%,39.90%,4.16,19.50%,9.53%,9.60%,9.21%,3.40%,3.40%,5.40%,318.00,313.55,0.30%,-31.37%,91.40%,1.19%,3.31%,4.60,3.90%,20.70%,13.30%,1.10,0.50,0.77,0.86,5.10%,1.80%,1.10%,-0.98%,5.44%,17.09%,2.87%,1.95%,13.99%,0.77,1.19,1.09%,1.36%,1.53%,6.42%,7.48%,-1.16%,14.39%,-4.92%,31.66%,62.09,-0.29%,0.41%,2.60,2259.31,0.65,82.04,0.12%,1471020,2/7/2017 8:30:00 AM
"CAI","CAI International, Inc.","Services","Rental & Leasing Services","USA",276.45,44.53,8.46,5.57,0.94,0.59,6.00,,,0.00%,0.32,-75.20%,55.35%,-34.10%,8.00%,18.60%,106.20%,17.70%,19.40,15.11,0.10%,-23.24%,62.70%,-1.27%,2.79%,3.40,0.30%,1.30%,2.60%,0.80,0.80,3.02,3.23,82.30%,18.10%,2.10%,-7.47%,-5.44%,56.94%,63.98%,62.49%,64.36%,2.12,0.97,4.33%,6.89%,-7.84%,1.86%,45.81%,-20.48%,69.44%,-20.48%,111.11%,45.86,0.92%,1.15%,2.40,124.09,0.66,14.25,2.08%,81337,2/14/2017 4:00:00 PM
"CAJ","Canon Inc.","Consumer Goods","Business Equipment","Japan",40085.90,24.99,,8.33,1.35,1.35,7.24,35.41,4.38%,119.50%,1.21,-31.60%,,-7.60%,3.00%,-0.90%,-34.90%,-7.40%,1329.99,1272.61,,,1.40%,-9.88%,0.16%,6.06,3.20%,5.50%,4.30%,2.10,1.60,0.22,0.22,49.20%,6.70%,4.40%,3.08%,3.68%,1.04%,2.03%,3.57%,7.11%,0.55,0.25,0.82%,0.61%,2.89%,3.65%,4.67%,0.63%,8.57%,-2.55%,10.89%,74.41,0.20%,0.84%,4.00,328.90,1.22,30.14,1.04%,402860,2/8/2017 8:30:00 AM
"CAKE","The Cheesecake Factory Incorporated","Services","Restaurants","USA",2960.11,21.94,18.62,1.88,1.30,4.87,55.02,20.76,1.55%,30.30%,2.82,22.70%,9.84%,11.40%,11.65%,5.30%,23.10%,14.50%,47.79,43.79,0.50%,-44.48%,98.40%,2.87%,18.26%,10.14,11.40%,23.50%,24.70%,0.60,0.50,0.00,0.00,76.90%,8.80%,6.10%,1.72%,3.80%,-3.09%,22.90%,19.15%,3.85%,0.22,1.05,1.40%,1.81%,1.05%,2.83%,14.04%,-1.19%,7.08%,-3.46%,33.75%,59.61,-0.66%,0.68%,2.90,788.81,0.74,61.94,0.02%,580130,2/22/2017 4:30:00 PM
"CAL","Caleres, Inc.","Consumer Goods","Textile - Apparel Footwear & Accessories","USA",1311.70,15.98,13.21,1.07,0.51,2.00,7.56,10.66,0.91%,13.40%,1.93,-2.00%,14.09%,16.90%,15.00%,0.60%,4.00%,0.50%,42.45,41.55,1.80%,-8.24%,87.60%,-1.23%,3.40%,5.50,6.70%,14.20%,12.20%,2.50,1.00,0.30,0.00,41.20%,5.70%,3.40%,1.88%,2.22%,-13.61%,23.12%,9.93%,-5.85%,0.55,1.09,3.45%,3.43%,1.43%,-0.24%,11.82%,-9.38%,6.88%,-15.43%,46.40%,53.00,2.79%,0.50%,2.10,256.73,1.77,30.90,3.31%,454137,3/16/2017 4:30:00 PM
"CALA","Calithera Biosciences, Inc.","Healthcare","Biotechnology","USA",256.49,,,,,4.40,4.56,,,,-1.95,61.20%,20.20%,,75.00%,,10.90%,,21.11,19.66,0.30%,,49.00%,0.17%,5.78%,1.42,-54.30%,-58.20%,,12.20,12.20,0.00,0.00,,,,-2.02%,35.00%,273.85%,277.33%,96.92%,273.85%,,0.93,8.93%,8.65%,21.44%,69.69%,177.59%,-11.31%,285.71%,-11.31%,452.27%,77.58,0.83%,0.00%,2.00,802.47,0.52,12.15,0.83%,414815,3/14/2017 4:30:00 PM
"CALD","Callidus Software Inc.","Technology","Business Software & Services","USA",1233.34,,48.41,,5.97,5.32,6.58,93.43,,,-0.32,-34.10%,29.02%,7.80%,20.00%,19.80%,-98.70%,19.90%,62.29,61.87,2.10%,-11.50%,85.80%,2.79%,4.13%,5.46,-6.10%,-10.50%,-7.80%,1.90,1.90,0.00,0.00,62.20%,-8.40%,-9.20%,-0.25%,-3.41%,22.60%,-0.25%,53.73%,17.86%,1.35,0.64,2.46%,3.04%,-0.52%,6.54%,6.82%,-7.61%,22.98%,-7.65%,56.03%,57.63,0.51%,0.25%,1.80,468.33,0.71,19.80,0.76%,333570,2/7/2017 4:30:00 PM
"CALI","China Auto Logistics Inc.","Services","Auto Dealerships","China",6.19,,,,0.01,0.24,4.42,,,,-2.29,55.30%,,-25.70%,,11.70%,43.50%,-35.90%,4.15,2.39,40.85%,0.00%,0.10%,-75.80%,0.82%,0.98,-1.90%,-19.40%,-2.50%,1.20,1.00,0.00,3.56,0.80%,-1.60%,-1.00%,-34.86%,-57.40%,-54.12%,-41.07%,16.48%,-56.54%,2.13,0.29,16.60%,12.39%,-52.34%,-55.56%,-47.08%,-62.54%,2.83%,-66.11%,50.45%,16.06,-5.63%,0.36%,3.00,20.14,1.26,1.49,-5.30%,25410,03/13/2017
"CALL","magicJack VocalTec Ltd.","Technology","Telecom Services - Domestic","Israel",120.83,13.37,9.32,0.37,1.23,2.00,2.33,6.50,,0.00%,0.56,274.20%,7.33%,49.70%,35.90%,-3.30%,7.80%,-3.10%,16.11,13.53,2.60%,0.00%,62.90%,0.29%,21.53%,28.11,5.10%,16.70%,27.60%,1.10,1.00,0.00,0.00,64.00%,21.30%,9.10%,0.00%,2.04%,4.90%,18.67%,-2.22%,9.49%,1.39,0.28,3.93%,3.50%,-1.02%,-0.66%,13.26%,-10.71%,12.78%,-14.09%,42.31%,48.34,2.04%,0.00%,2.00,103.63,0.74,7.50,2.04%,76187,3/14/2017 4:30:00 PM
"CALM","Cal-Maine Foods, Inc.","Consumer Goods","Food - Major Diversified","USA",1882.96,193.03,18.00,,1.51,2.17,9.51,,6.42%,217.30%,0.20,96.30%,417.60%,38.80%,,15.20%,-121.10%,-53.60%,48.53,29.16,4.30%,-0.26%,69.20%,1.04%,32.65%,21.47,0.90%,1.10%,32.00%,5.90,3.90,0.01,0.03,13.50%,-0.30%,0.80%,3.74%,-0.13%,-3.96%,-13.16%,-23.79%,-12.18%,0.76,0.92,2.85%,2.35%,1.06%,-5.44%,-6.42%,-15.93%,5.43%,-29.04%,8.84%,47.14,-0.26%,0.13%,3.10,443.30,0.65,38.80,-0.13%,288432,3/27/2017 4:30:00 PM
"CALX","Calix, Inc.","Technology","Communication Equipment","USA",334.23,,20.56,,0.73,1.61,4.28,22.89,,,-0.56,-10.00%,197.10%,13.40%,20.00%,5.90%,-23.50%,25.50%,48.09,40.67,6.90%,0.79%,68.00%,-1.77%,1.63%,4.77,-8.50%,-12.70%,-13.40%,1.80,1.40,0.00,0.00,43.90%,-6.10%,-6.00%,-0.71%,0.72%,-7.95%,-7.33%,-3.61%,-9.74%,0.52,0.26,2.46%,4.01%,-1.03%,-2.78%,-4.10%,-13.13%,13.01%,-15.24%,13.01%,47.39,-1.42%,0.00%,2.70,139.02,0.78,6.95,-1.42%,109106,2/14/2017 4:30:00 PM
"CAMP","CalAmp Corp.","Technology","Wireless Communications","USA",592.02,368.00,13.66,18.40,1.76,3.51,5.87,26.20,,0.00%,0.05,1.50%,15.21%,42.10%,20.00%,19.70%,-140.60%,11.60%,35.75,34.15,1.30%,-18.54%,75.60%,7.55%,14.33%,13.77,0.50%,1.00%,7.10%,2.80,2.40,0.86,0.00,40.20%,2.40%,0.50%,0.06%,10.70%,7.18%,8.59%,-7.49%,14.21%,1.41,0.34,1.91%,2.10%,3.90%,7.88%,11.86%,-1.84%,16.21%,-15.81%,36.52%,68.52,-0.84%,1.03%,2.10,355.44,0.42,16.56,0.18%,149565,3/22/2017 4:30:00 PM
